name,pro_B12_17_1,pro_B12_17_2,pro_B12_17_3,pro_B12_21_1,pro_B12_21_2,pro_B12_21_3,nonpro_B12_1,nonpro_B12_2,nonpro_B12_3,status.in.b12_17,status.in.b12_21,status_in_nonprob12,welch.pval.b12_17.vs.parent,fold.change.17...parent,foldchange_B12_17,log2FC_B12_17,welch.pval.b12_21.vs.parent,fold.change.21...parent,foldchange_B12_21,log2FC_B12_21,pro_wt_1_1,pro_wt_1_2,pro_wt_1_3,pro_wt_3_1,pro_wt_3_2,pro_wt_3_3,nonpro_wt_1,nonpro_wt_2,nonpro_wt_3,status_in_prowt_1,status_in_prowt_1_3,status.nonpro_wt,welch.pval.wt_1.vs.parent,fold.change.wt1...parent,foldchange_wt_1,log2FC_wt_1,welch.pval.wt_3.vs.parent,fold.change.wt3...parent,foldchange_wt_3,log2FC_wt_3,adj_pval_b12_17_vs_parent,adj_pval_b12_21_vs_parent,adj_pval_wt_1_vs_parent,adj_pval_wt_3_vs_parent,welch_pval_wtprovsB12pro,adj_pval_wtprovsB12pro,fold_change_wtprovsB12pro
A0A3L7H7Q0,25.48050829,25.75689417,25.62833425,25.29890126,25.23843397,25.56401361,24.45984695,24.74629077,26.00263579,in b12_17,in b12_21,in b12,0.363771766,0.552321072,1.022031515,0.031439683,0.596993847,0.297525112,1.011867968,0.017021055,25.37187871,25.71188398,25.44384046,25.55557108,25.74200798,25.82317716,25.18562587,24.2821453,24.96584814,in wt_1,in prowt_3,in nonpro_wt,0.110554276,0.697994612,1.028132232,0.040025827,0.071171388,0.895712302,1.036101118,0.05116481,0.500176261,0.704203259,0.230074575,0.185441973,0.322111356,0.589057973,0.113545637
A0A3L7HE43,25.71558354,25.64070476,25.76488312,25.16321889,25.15305252,25.38949609,24.63664661,25.46733004,26.3380906,in b12_17,in b12_21,in b12,0.690501252,0.226368056,1.008883906,0.012760171,0.668434163,-0.245433249,0.990367872,-0.013963581,25.76231817,26.81695794,26.20954602,26.71302758,27.11787838,26.53365238,24.32954136,23.07603689,24.97936513,in wt_1,in prowt_3,in nonpro_wt,0.041903396,2.134626247,1.088469763,0.12230133,0.032218357,2.65987165,1.110238602,0.15086976,0.772862245,0.763181488,0.130631728,0.118965609,0.001631074,0.04253315,1.054406925
A0A3L7HMX4,25.6105965,25.76336068,25.56367917,26.12218285,26.24995007,26.52844857,24.33528093,22.6109297,22.87093102,in b12_17,in b12_21,not in b12,0.045946302,2.373498239,1.101987772,0.140108215,0.025379052,3.027813282,1.13010329,0.176454639,26.89324582,27.17518758,26.06212381,25.91171916,26.4794983,26.24823901,26.2008149,21.78426444,23.24002528,in wt_1,in prowt_3,not in nonpro_wt,0.142480402,2.968484197,1.125032496,0.169966673,0.195834209,2.471450615,1.104097451,0.142867515,0.161682252,0.123410312,0.266863495,0.33939961,0.086106725,0.322987138,0.48863264
A0A3L7HYJ0,24.51925492,25.21634124,24.36004139,24.93839949,24.69816169,24.96429209,26.68029866,26.37140013,27.07415184,in b12_17,in b12_21,in b12,0.004587739,-2.010071024,0.924740729,-0.112879163,0.005452663,-1.841665784,0.931046007,-0.103075636,25.68798349,24.72753416,24.75707611,24.80258098,24.81371898,25.19975818,27.42409947,26.7455027,25.87446942,in wt_1,in prowt_3,in nonpro_wt,0.04750753,-1.623825941,0.939140055,-0.090587771,0.050816132,-1.742671147,0.934685813,-0.097446598,0.050537662,0.053888552,0.140681177,0.153692358,0.311549682,0.579632153,0.21536018
A0A3L7IAQ0,25.18874582,22.55990635,22.06096433,25.68783918,25.78534891,25.36174654,22.41492921,23.58425163,22.57505235,not in b12_17,in b12_21,not in b12,0.722036253,0.411794439,1.01801527,0.025759201,0.010431787,2.75356715,1.120463636,0.164095827,25.63185927,26.03476071,25.000416,25.48941402,25.28504926,25.32520212,22.39579302,22.87371213,22.60777352,in wt_1,in prowt_3,not in nonpro_wt,0.003926425,2.929919102,1.12949484,0.175677679,0.000570788,2.740795577,1.121136069,0.164961385,0.79425657,0.074166812,0.035996534,0.019079138,0.198690474,0.472080436,1.020358375
A0A8C2L7S6,27.54463073,27.05821321,27.20554546,27.57344757,27.09860182,26.79653819,29.41959652,29.19502545,29.36636702,in b12_17,in b12_21,in b12,0.0012986,-2.057533197,0.929841666,-0.10494302,0.006731028,-2.170800474,0.925979448,-0.110947922,27.88905334,27.09760088,27.6633097,27.52087229,27.32555435,28.27328426,29.74092658,29.77907925,28.52092234,in wt_1,in prowt_3,in nonpro_wt,0.029415114,-1.796988081,0.938767521,-0.091160165,0.036752249,-1.640405756,0.944103074,-0.082983719,0.028274986,0.060975621,0.107444198,0.128517588,0.078743188,0.310406315,0.41544964
A0A8C2L897,23.766065,23.98516612,24.19663296,23.64517372,22.8210549,23.12974255,24.0873969,21.92893603,23.05826234,in b12_17,not in b12_21,not in b12,0.26195971,0.957756273,1.041596607,0.058796654,0.814085245,0.173791969,1.007548012,0.010848589,24.42151945,22.63958327,24.17805892,24.22851164,24.63606135,24.57520586,24.94989051,25.67394155,23.1134197,in wt_1,in prowt_3,in nonpro_wt,0.431951705,-0.832696707,0.966121735,-0.049723109,0.909064034,-0.099157637,0.995965772,-0.005831933,0.407639147,0.879060666,0.555136983,0.946771847,0.192908926,0.4658522,0.52251754
A0A8C2L8D9,24.91056137,24.56780598,24.89630559,24.53099246,24.50201715,24.35660552,21.84189671,22.85355101,22.25947439,in b12_17,in b12_21,not in b12,0.007272504,2.473250274,1.110817108,0.151621302,0.015723559,2.144897671,1.096104854,0.132385814,24.76114228,24.42349982,24.87536721,24.80460529,24.41730997,24.61384201,24.09390801,23.7609431,22.85534866,in wt_1,in prowt_3,not in nonpro_wt,0.08057486,1.116603183,1.047373781,0.066776396,0.095915265,1.041852503,1.044202357,0.06240132,0.062173217,0.094381359,0.195101768,0.220557627,0.861361392,0.929389934,0.021913085
A0A8C2L8T9,27.7158665,27.01096003,27.64505486,28.09378371,28.02487106,27.89986544,22.65334046,22.93614722,22.31757604,in b12_17,in b12_21,not in b12,0.000102105,4.821605886,1.213009028,0.278590289,0.000424093,5.370485497,1.237257446,0.307145724,27.96578042,28.45689583,27.3888845,26.68333126,26.79134692,26.97555385,21.70025738,21.95656762,22.72951524,in wt_1,in prowt_3,not in nonpro_wt,0.000185174,5.808406837,1.262482017,0.336262838,0.002548609,4.687963928,1.211849181,0.277210161,0.015809258,0.022729754,0.01287959,0.033823682,0.314654975,0.581142091,-0.354768137
A0A8C2L9D1,25.97140089,26.09129815,25.92837315,25.80264184,26.19768255,26.61643749,25.30569565,25.65223429,26.6214799,in b12_17,in b12_21,in b12,0.761576731,0.137220784,1.005306335,0.007635184,0.50148739,0.345784012,1.013371487,0.019163141,25.38534316,26.01569018,25.89288719,25.65451655,26.20498323,26.02443123,26.14513117,25.64004147,26.44444742,in wt_1,in prowt_3,in nonpro_wt,0.364685267,-0.31189984,0.988039063,-0.017360013,0.709319003,-0.11522968,0.995581098,-0.006389256,0.825238861,0.62646587,0.492192658,0.798091264,0.18712155,0.459645317,-0.238330422
