#term ID,term description,observed gene count,background gene count,strength,false discovery rate,,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0015031,Protein transport,52,1062,0.42,3.09E-07,x,"10029.G3GVW9,10029.G3GWC4,10029.G3GX44,10029.G3GX68,10029.G3GX75,10029.G3GYJ1,10029.G3GYJ9,10029.G3GZ54,10029.G3GZI7,10029.G3H269,10029.G3H284,10029.G3H2A5,10029.G3H381,10029.G3H445,10029.G3H485,10029.G3H4H6,10029.G3H4J6,10029.G3H530,10029.G3H7R3,10029.G3H873,10029.G3H8H1,10029.G3H8Q6,10029.G3HA80,10029.G3HAD0,10029.G3HB65,10029.G3HC48,10029.G3HCW3,10029.G3HD44,10029.G3HEI4,10029.G3HHR0,10029.G3HJB1,10029.G3HK79,10029.G3HK90,10029.G3HNZ2,10029.G3HQA3,10029.G3HTM8,10029.G3HUQ0,10029.G3HVB2,10029.G3HVB8,10029.G3HW54,10029.G3I0Z2,10029.G3I3Z1,10029.G3I4Z0,10029.G3I8B9,10029.G3IBK8,10029.G3ICK2,10029.G3ICV7,10029.G3IDJ2,10029.G3IDM2,10029.G3IE25,10029.G3ILM5,10029.G3ILN5","Snx5,Grpel1,Sec13,Nploc4,Hgs,Arhgap1,Arfgap2,Tnpo3,Pik3r4,Clip1,Erp29,Vps29,Klc1,Vps16,Cope,Ap1m1,Scfd1,Snx1,Dennd10,Erc1,Nup35,Kpna3,Sel1l,Smad2,Agap3,Mtx1,ASNA1,Vps4b,Pml,Stam,Actn4,Tmem129,Ywhah,Ap3s1,Arfip1,Tmed7,Get4,Vps26c,PAFAH1B1,Os9,Napa,Aip,Stam2,Ap2b1,Atp6ap1,Vps18,Vps35l,Nup214,Cfl1,Clta,Zw10,Rcn3"
GO:0033365,Protein localization to organelle,37,739,0.43,3.61E-05,x,"10029.G3GWC4,10029.G3GX34,10029.G3GX44,10029.G3GX75,10029.G3GZ54,10029.G3GZI7,10029.G3H0A3,10029.G3H2M2,10029.G3H5I9,10029.G3H5Q3,10029.G3H896,10029.G3H8H1,10029.G3H8Q6,10029.G3HB65,10029.G3HBG8,10029.G3HBL6,10029.G3HCW3,10029.G3HEE4,10029.G3HEI4,10029.G3HHG7,10029.G3HHR0,10029.G3HIG8,10029.G3HMA9,10029.G3HUQ0,10029.G3HW48,10029.G3HW54,10029.G3HWF3,10029.G3HXT3,10029.G3I3X8,10029.G3I3Z1,10029.G3I5V6,10029.G3IDE4,10029.G3IDJ2,10029.G3IDM2,10029.G3IGL3,10029.G3ILM5,10029.G3IN30","Grpel1,Emc3,Sec13,Hgs,Tnpo3,Pik3r4,I79_003557,Utp25,Plrg1,Msh2,Parp3,Nup35,Kpna3,Agap3,Calm2,Aurka,ASNA1,Gak,Pml,Prkaa1,Stam,Emc4,Nudcd3,Get4,Dctn2,Os9,Atg9a,Pacsin2,Tcirg1,Aip,Bub3,Tpp1,Nup214,Cfl1,Hk2,Zw10,Plk1"
GO:0016192,Vesicle-mediated transport,50,1231,0.33,0.0001,x,"10029.G3GVV6,10029.G3GVW9,10029.G3GVY3,10029.G3GX44,10029.G3GX75,10029.G3GXN3,10029.G3GXU2,10029.G3GYJ1,10029.G3GYJ9,10029.G3GZI7,10029.G3H2A5,10029.G3H3E4,10029.G3H445,10029.G3H485,10029.G3H4H4,10029.G3H4H6,10029.G3H4J6,10029.G3H530,10029.G3H7R3,10029.G3H873,10029.G3HCF8,10029.G3HD44,10029.G3HDV7,10029.G3HEE4,10029.G3HHR0,10029.G3HHV4,10029.G3HLK3,10029.G3HM98,10029.G3HNK4,10029.G3HNZ2,10029.G3HSG5,10029.G3HTM8,10029.G3HTY0,10029.G3HVB2,10029.G3HVD1,10029.G3HX53,10029.G3HXT3,10029.G3I0P3,10029.G3I0Z2,10029.G3I4H1,10029.G3I8B9,10029.G3I8T3,10029.G3I973,10029.G3I9P1,10029.G3IBK8,10029.G3ICK2,10029.G3ICV7,10029.G3IE25,10029.G3IKX0,10029.G3ILM5","Rin2,Snx5,Eps15,Sec13,Hgs,Itsn2,Nrbp1,Arhgap1,Arfgap2,Pik3r4,Vps29,Lgals3bp,Vps16,Cope,Eps15l1,Ap1m1,Scfd1,Snx1,Dennd10,Erc1,Sh3gl1,Vps4b,Carmil1,Gak,Stam,Thbs1,Grn,Dbnl,Dpysl2,Ap3s1,Tfg,Tmed7,Ube2o,Vps26c,Ctbp2,Scarb1,Pacsin2,Wdr91,Napa,Mapk3,Ap2b1,Wasf2,Hyou1,Mesd,Atp6ap1,Vps18,Vps35l,Clta,Wdr81,Zw10"
GO:0034976,Response to endoplasmic reticulum stress,17,206,0.64,0.00018,x,"10029.G3GWD5,10029.G3GX68,10029.G3H1G8,10029.G3H5U0,10029.G3H9R6,10029.G3HA80,10029.G3HEI4,10029.G3HFL2,10029.G3HHV4,10029.G3HII2,10029.G3HK79,10029.G3HRG8,10029.G3HUQ0,10029.G3HW54,10029.G3I973,10029.G3IB70,10029.G3ILN5","Wfs1,Nploc4,Erlin2,Cdk5rap3,Edem3,Sel1l,Pml,Erlec1,Thbs1,Tmtc3,Tmem129,Erp44,Get4,Os9,Hyou1,Usp19,Rcn3"
GO:0006511,Ubiquitin-dependent protein catabolic process,29,552,0.45,0.00026,x,"10029.G3GWD5,10029.G3GX68,10029.G3GYK8,10029.G3GYR1,10029.G3H0C2,10029.G3H1G8,10029.G3H2P1,10029.G3H6Y6,10029.G3H9R6,10029.G3HAA7,10029.G3HB65,10029.G3HD44,10029.G3HEI4,10029.G3HFL2,10029.G3HGD0,10029.G3HGW5,10029.G3HHP3,10029.G3HHR0,10029.G3HIL8,10029.G3HK57,10029.G3HK79,10029.G3HUQ0,10029.G3HW54,10029.G3HWE6,10029.G3HYW3,10029.G3I179,10029.G3I846,10029.G3IB70,10029.G3IKX0","Wfs1,Nploc4,Psmc3,Hectd3,Psma4,Erlin2,Crtap,Nsfl1c,Edem3,Herc4,Agap3,Vps4b,Pml,Erlec1,Cdc27,Adrm1,Cops3,Stam,Usp48,Cul4a,Tmem129,Get4,Os9,Usp47,Cul4b,Psmd14,Anapc4,Usp19,Wdr81"
GO:0016197,Endosomal transport,17,215,0.62,0.00028,x,"10029.G3GVW9,10029.G3GVY3,10029.G3GX75,10029.G3GXN3,10029.G3GYJ1,10029.G3H2A5,10029.G3H445,10029.G3H4H4,10029.G3H530,10029.G3H7R3,10029.G3H873,10029.G3HD44,10029.G3HHR0,10029.G3HTY0,10029.G3HVB2,10029.G3IBK8,10029.G3ICV7","Snx5,Eps15,Hgs,Itsn2,Arhgap1,Vps29,Vps16,Eps15l1,Snx1,Dennd10,Erc1,Vps4b,Stam,Ube2o,Vps26c,Atp6ap1,Vps35l"
GO:0007346,Regulation of mitotic cell cycle,26,483,0.46,0.00051,x,"10029.G3GRH9,10029.G3GTU8,10029.G3H0A3,10029.G3H0F0,10029.G3H2P6,10029.G3H5I9,10029.G3H5Q3,10029.G3H5U0,10029.G3H7B2,10029.G3HD44,10029.G3HDE3,10029.G3HEI4,10029.G3HGD0,10029.G3HK57,10029.G3HLZ2,10029.G3HQK4,10029.G3HS35,10029.G3HVB8,10029.G3HWE6,10029.G3HYW3,10029.G3I5V6,10029.G3I846,10029.G3IAL7,10029.G3IIH3,10029.G3ILM5,10029.G3IN30","Tmod3,Nle1,I79_003557,Sin3a,Dync1li1,Plrg1,Msh2,Cdk5rap3,Dlgap5,Vps4b,Psme2,Pml,Cdc27,Cul4a,Psme3,Ddr2,Pdgfrb,PAFAH1B1,Usp47,Cul4b,Bub3,Anapc4,Ankrd17,Eif4e,Zw10,Plk1"
GO:0036503,ERAD pathway,11,98,0.78,0.00079,x,"10029.G3GWD5,10029.G3GX68,10029.G3H1G8,10029.G3H9R6,10029.G3HA80,10029.G3HFL2,10029.G3HK79,10029.G3HUQ0,10029.G3HW54,10029.G3IB70,10029.G3ILN5","Wfs1,Nploc4,Erlin2,Edem3,Sel1l,Erlec1,Tmem129,Get4,Os9,Usp19,Rcn3"
GO:0006396,RNA processing,39,941,0.34,0.00085,x,"10029.G3GSS3,10029.G3GTN1,10029.G3GVG3,10029.G3GVV2,10029.G3H166,10029.G3H1X1,10029.G3H2E1,10029.G3H2M2,10029.G3H2S5,10029.G3H3V1,10029.G3H5I9,10029.G3H5P9,10029.G3H6T7,10029.G3H9Z4,10029.G3HAC9,10029.G3HAQ2,10029.G3HBC9,10029.G3HBQ0,10029.G3HCY7,10029.G3HE04,10029.G3HFJ1,10029.G3HIN6,10029.G3HKJ9,10029.G3HKU4,10029.G3HS22,10029.G3HTC0,10029.G3HWW6,10029.G3I0X8,10029.G3I4B6,10029.G3I6H3,10029.G3I7E3,10029.G3I9Y5,10029.G3IAE3,10029.G3IBI4,10029.G3IGU3,10029.G3IH72,10029.G3IJU9,10029.G3IKQ7,10029.G3ILG2","Mdn1,Magoh,Ints1,Crnkl1,Ddx41,Pum1,Nhp2,Utp25,Rbm8a,Rpp30,Plrg1,Aqr,Supv3l1,Strap,I79_007377,EIF6,I79_007757,Tbl3,Trmt1,Sf3a3,Dcps,Kdm1a,I79_011227,Utp4,Rcl1,Tfip11,Xab2,Nvl,Grsf1,Sf1,AGO2,URM1,Rtraf,Ddx20,Las1l,Sbds,Prpf38b,Rrp1,Thumpd1"
GO:0036211,Protein modification process,85,2803,0.21,0.0011,x,"10029.G3GSH8,10029.G3GSK4,10029.G3GTQ7,10029.G3GU77,10029.G3GVN0,10029.G3GXH4,10029.G3GYR1,10029.G3GZI7,10029.G3H0B9,10029.G3H0F0,10029.G3H283,10029.G3H2G5,10029.G3H2P1,10029.G3H370,10029.G3H3Q1,10029.G3H5U0,10029.G3H7R4,10029.G3H873,10029.G3H896,10029.G3H8Z0,10029.G3H9G6,10029.G3H9R6,10029.G3HAA7,10029.G3HAD0,10029.G3HBH4,10029.G3HBL6,10029.G3HD16,10029.G3HEE4,10029.G3HEG1,10029.G3HEI4,10029.G3HEI6,10029.G3HFP8,10029.G3HFR1,10029.G3HFY1,10029.G3HGB3,10029.G3HGD0,10029.G3HGJ2,10029.G3HHD8,10029.G3HHG7,10029.G3HHP3,10029.G3HHV4,10029.G3HHV8,10029.G3HII2,10029.G3HIL8,10029.G3HIN6,10029.G3HJ24,10029.G3HK57,10029.G3HK79,10029.G3HL00,10029.G3HLV1,10029.G3HQK4,10029.G3HR69,10029.G3HRG2,10029.G3HS35,10029.G3HSW2,10029.G3HSX8,10029.G3HTV3,10029.G3HTY0,10029.G3HUM5,10029.G3HW54,10029.G3HWD4,10029.G3HWE6,10029.G3HY52,10029.G3HY75,10029.G3HYQ6,10029.G3HYW3,10029.G3HZU1,10029.G3I179,10029.G3I1D2,10029.G3I1J6,10029.G3I411,10029.G3I4H1,10029.G3I7Q0,10029.G3I846,10029.G3I873,10029.G3I9Y5,10029.G3IA32,10029.G3IB70,10029.G3IBG8,10029.G3ICK2,10029.G3ID93,10029.G3IDM2,10029.G3IEX0,10029.G3IIC0,10029.G3IN30","I79_000592,Pak2,Lgals9,Pxn,Pmm2,Cdk6,Hectd3,Pik3r4,Wdr61,Sin3a,Naa25,Ppp2r1b,Crtap,Cdc42bpb,Pkm,Cdk5rap3,Prdx3,Erc1,Parp3,Pofut2,Otud4,Edem3,Herc4,Smad2,Acp1,Aurka,Pkn1,Gak,Pno1,Pml,Loxl1,Poglut3,I79_009425,Ppm1f,Alg5,Cdc27,Parp12,Vrk1,Prkaa1,Cops3,Thbs1,Hdac2,Tmtc3,Usp48,Kdm1a,P4ha1,Cul4a,Tmem129,Ubr5,Fkbp10,Ddr2,Ppp2r5d,Cblb,Pdgfrb,Naa10,Bgn,Trim47,Ube2o,I79_014638,Os9,Mtr,Usp47,Jak1,Ppp2r2a,Rps6ka1,Cul4b,Mapk14,Psmd14,Actl6a,Adprh,Kdm2a,Mapk3,Sik3,Anapc4,Otub1,URM1,Cops4,Usp19,Araf,Vps18,Wdr5,Cfl1,P3h1,Csk,Plk1"
