geneid,b12_21_baseMean,b12_21_log2FoldChange,b12_21_lfcSE,b12_21_stat,b12_21_pvalue,b12_21_padj
Aaas,1133.858094,0.914471621,0.065730942,13.91234629,5.3301800661194e-44,1.31290146499307e-42
Aacs,1740.030424,0.593369899,0.051289818,11.56896093,5.91952032953109e-31,9.67871213822759e-30
Aagab,923.27799,-0.000251508,0.070914128,-0.003546652,0.997170187,0.997738464
Aamdc,123.4115456,-0.638867985,0.181322134,-3.523386646,0.000426069,0.001184516
Aamp,1329.674861,0.03824273,0.057971836,0.659677747,0.50946065,0.616672926
Aar2,686.1817898,0.432053686,0.082702477,5.224192813,1.7491644343963e-07,7.4372025002661e-07
Aars1,10166.36663,-0.060816145,0.029826071,-2.039026357,0.041447397,0.075974708
Aars2,778.1595937,-0.539031585,0.078929762,-6.82925641,8.53558951927292e-12,5.34538370497371e-11
Aasdh,643.634035,-0.17177873,0.079519419,-2.160211086,0.030756332,0.058644331
Aasdhppt,4549.379403,0.258305321,0.044595321,5.79220674,6.94675556441123e-09,3.39873584527637e-08
Abca1,2087.370801,-0.165949708,0.053741384,-3.087931413,0.00201555,0.004985007
Abca12,4.25875161,1.072284377,0.983607804,1.090154401,0.275645136,0.379194543
Abca2,2334.370444,-0.326831526,0.049905984,-6.548944691,5.79450852371754e-11,3.37368506966723e-10
Abca7,551.3498613,-1.226947747,0.19944556,-6.151792747,7.66119522913606e-10,4.08204197080634e-09
Abcb1,1386.275257,0.627367337,0.061456406,10.20833107,1.81967708406896e-24,2.25564960887463e-23
Abcb10,303.2831755,0.144782283,0.115211107,1.25666949,0.20887334,0.302868994
Abcb1b,529.7265127,-0.090768553,0.090019329,-1.008322929,0.313299459,0.420417931
Abcb6,562.2091876,-0.159315347,0.086688203,-1.837797306,0.066092279,0.114000702
Abcc1,2028.117784,-0.108276928,0.049387177,-2.192409723,0.028349935,0.054648576
Abcc10,177.9122062,0.062737199,0.163500485,0.383712617,0.70119146,0.781312001
Abcc2,50.07541959,-0.042806535,0.281147626,-0.152256434,0.878984685,0.916765465
Abcc4,4789.284383,-0.296678165,0.03939817,-7.530252466,5.06423093788652e-14,3.68656658529331e-13
Abcc5,2544.925354,-0.237020621,0.044206983,-5.361610398,8.24832884644748e-08,3.62159624994423e-07
Abcd2,203.0188154,0.886216409,0.141431106,6.266064331,3.7028740894262e-10,2.021019482715e-09
Abcd3,1551.886499,0.482672355,0.053315251,9.053176151,1.38869020223746e-19,1.36468962350576e-18
Abcd4,270.6019279,-0.045533639,0.132760972,-0.34297458,0.731617584,0.806003597
Abce1,8420.001081,-0.064363552,0.038293331,-1.680803141,0.092801158,0.15313665
Abcf1,5026.8506,0.483227397,0.038343745,12.60250921,2.04532503670059e-36,4.0373091268482e-35
Abcf3,1124.383705,-0.106437259,0.063435385,-1.677884663,0.093369617,0.153919134
Abhd10,416.542633,-0.259109156,0.108099571,-2.396948966,0.016532226,0.033885727
Abhd11,318.8855073,-0.674810927,0.110577682,-6.102596045,1.04359359809985e-09,5.4964199228955e-09
Abhd12,741.3618756,-0.140918637,0.07693822,-1.831581724,0.067013762,0.115353739
Abhd13,467.9950259,-0.215286686,0.100045907,-2.15187899,0.031406886,0.059665775
Abhd14a,261.0857125,-0.929475331,0.133704968,-6.951688813,3.6093890294281e-12,2.32273126223726e-11
Abhd14b,458.818191,-0.131775839,0.097803739,-1.347349702,0.177867632,0.264797338
Abhd16a,944.5062098,-0.069688643,0.074635061,-0.933725283,0.350445619,0.459580377
Abhd17a,706.2154906,0.465393141,0.077705073,5.98922468,2.10843724615368e-09,1.08400041773686e-08
Abhd17b,718.9792964,-0.232878003,0.074674638,-3.118568906,0.001817316,0.004528268
Abhd17c,1061.373415,0.160171099,0.064786208,2.472302437,0.013424589,0.028049292
