geneid,wt1_3_baseMean,wt1_3_log2FoldChange,wt1_3_lfcSE,wt1_3_stat,wt1_3_pvalue,wt1_3_padj
Aaas,1119.303925,0.721244241,0.05872735,12.28123252,1.14244407217667e-34,1.1493771100817e-33
Aacs,1817.04923,0.0661458,0.046677722,1.417074289,0.156461209,0.222382709
Aagab,778.8606484,0.450077779,0.069686808,6.458579341,1.05690447323818e-10,4.0775481515587e-10
Aamdc,105.8599329,-0.417788781,0.185662979,-2.250253567,0.024432854,0.042142252
Aamp,1401.785269,-0.015549226,0.052982763,-0.293477074,0.76915752,0.820961313
Aar2,586.5365837,-0.333706216,0.080586394,-4.14097467,3.4583315393809e-05,8.71554405793745e-05
Aars1,6580.628976,0.104864047,0.030189646,3.473510282,0.000513698,0.001143672
Aars2,686.2743145,-0.01829895,0.077385081,-0.236466126,0.813070989,0.857525267
Aasdh,559.2520448,-0.073854548,0.077924805,-0.947766861,0.343248155,0.43313243
Aasdhppt,3911.750266,0.42638082,0.034832063,12.24104408,1.8760365494967e-34,1.87587256028783e-33
Abca1,3045.040263,-0.376725727,0.03866983,-9.742109662,1.99371619660485e-22,1.33447159584335e-21
Abca12,0.599247806,2.6229447,2.280946069,1.149937184,0.250169744,0.332484223
Abca2,1650.380766,0.255799207,0.049859746,5.130375225,2.89165184383641e-07,8.75532171562857e-07
Abca7,801.0810673,-1.026235146,0.080871302,-12.68973199,6.74160811500458e-37,7.18706945270619e-36
Abcb1,1665.621537,0.337363266,0.050071446,6.737637819,1.60982224161536e-11,6.53700980540933e-11
Abcb10,280.8627305,0.258123666,0.113055287,2.283163149,0.02242076,0.038989217
Abcb1b,855.7307908,0.17796426,0.066634864,2.670737943,0.007568471,0.014286425
Abcb6,355.772439,-0.012254602,0.10286791,-0.11912949,0.905172768,0.929927262
Abcc1,1706.086677,-0.040658383,0.05191974,-0.78310067,0.433567998,0.523549491
Abcc10,223.4714429,-0.069589818,0.126197532,-0.551435646,0.581335071,0.664059504
Abcc2,57.88981961,0.248632626,0.251538364,0.988448132,0.322933225,0.412695024
Abcc4,3699.937834,0.112117459,0.035650815,3.144877882,0.001661562,0.003462672
Abcc5,2835.696413,-0.628936816,0.040696567,-15.45429655,7.05778746705339e-54,1.14842149126065e-52
Abcd2,139.5419432,1.058065961,0.174687276,6.056914883,1.38756961375947e-09,4.98348785299672e-09
Abcd3,1418.452037,0.329941779,0.052751536,6.254638326,3.9843817895347e-10,1.4870258822345e-09
Abcd4,261.7062836,-0.260775974,0.115877533,-2.250444655,0.024420733,0.042136261
Abce1,6851.476864,-0.230423879,0.030786735,-7.484518235,7.18100635448219e-14,3.29628939361644e-13
Abcf1,4305.206493,0.584531873,0.039565822,14.77365673,2.16633260130907e-49,3.22665086280917e-48
Abcf3,922.0076997,-0.034846677,0.064076829,-0.543826498,0.586560873,0.668160707
Abhd10,345.2064231,0.121402994,0.099404951,1.221297252,0.221973494,0.300562831
Abhd11,234.3605052,-0.357634737,0.124940362,-2.862443572,0.004203881,0.008261157
Abhd12,1313.593882,1.250141562,0.059546454,20.99439144,7.38019705836777e-98,2.37808659579349e-96
Abhd13,512.05208,-0.433099227,0.083578453,-5.181948367,2.19580006634693e-07,6.73217822539335e-07
Abhd14a,226.5949404,-0.916219758,0.123113257,-7.442088515,9.91057766719842e-14,4.52382673324352e-13
Abhd14b,409.1780918,-0.211120569,0.090542611,-2.33172611,0.019715104,0.034642255
Abhd16a,1094.715662,-0.133966643,0.057780078,-2.318561141,0.020418844,0.035785377
Abhd17a,691.3949913,0.016285435,0.071400371,0.228086145,0.819579271,0.863116119
Abhd17b,655.6525885,0.285108645,0.074811235,3.811040459,0.000138383,0.000328757
Abhd17c,997.0706421,0.547428229,0.063098184,8.675815952,4.10595755095174e-18,2.31141970597131e-17
Abhd18,156.3566481,-0.592103729,0.145877917,-4.05889899,4.93046337423031e-05,0.000122421
Abhd2,5603.244121,-0.303604126,0.032533664,-9.33199905,1.03892612145351e-20,6.50836577399055e-20
Abhd4,1832.104414,-0.732616134,0.050658634,-14.46182166,2.11134976718725e-47,2.97069249530811e-46
Abhd5,2089.089079,-0.228222463,0.048689558,-4.687297914,2.76835838281866e-06,7.72560418176693e-06
Abhd6,132.2583862,-0.104853907,0.169826269,-0.617418658,0.536958619,0.623137835
