gene_id,B12_17_R1,B12_17_R2,B12_17_R3,B12_21_R1,B12_21_R2,B12_21_R3,B12_R1,B12_R2,B12_R3,clone1-wt_R1,clone1-wt_R2,clone1-wt_R3,clone1_1_R1,clone1_1_R2,clone1_1_R3,clone1_3_R1,clone1_3_R2,clone1_3_R3
Aaas,1543,1445,1333,1522,1589,1494,778,851,667,750,836,799,1656,1365,1136,1379,1279,1876
Aacs,1636,1539,1521,2130,2191,2184,1303,1500,1246,1538,1751,1721,2349,1783,1736,1907,1711,2412
Aagab,939,877,855,957,972,941,837,1053,811,589,668,600,1189,954,862,905,818,1202
Aamdc,106,91,99,96,116,88,131,168,140,94,124,124,201,167,121,77,102,113
Aamp,1496,1504,1457,1392,1421,1374,1215,1426,1189,1184,1377,1421,2076,1677,1517,1397,1282,1854
Aar2,795,732,746,842,776,832,521,672,516,557,681,610,734,556,508,502,475,715
Aars1,7428,7344,7008,10226,10308,10395,9784,11207,9311,5489,6181,6233,7501,6381,5642,6939,6190,9042
Aars2,645,663,639,614,731,627,867,981,841,613,617,719,913,760,673,739,589,888
Aasdh,582,550,567,587,632,663,645,723,621,516,545,556,793,637,529,538,515,715
Aasdhppt,4936,5109,4682,5309,4941,5148,3847,4616,3648,2911,3247,3261,5124,4276,3903,4565,4130,5865
Abca1,2054,2084,2117,2010,1999,2108,2135,2466,1856,3043,3271,3394,2620,2154,1735,2635,2435,3547
Abca12,4,10,4,3,8,7,5,2,1,0,0,0,0,1,0,1,1,2
Abca2,1688,1687,1750,2047,2192,2201,2442,2902,2252,1379,1425,1437,2185,1728,1618,1788,1654,2397
Abca7,236,241,209,282,349,396,778,659,795,1072,939,1010,753,580,447,521,479,717
Abcb1,1360,1348,1284,1684,1676,1873,1063,1178,941,1339,1440,1370,3152,2649,2280,1870,1706,2466
Abcb10,338,326,344,345,324,321,268,330,245,224,264,234,338,320,246,280,295,421
Abcb1b,549,563,481,499,552,543,514,544,531,742,758,762,1552,1392,1179,961,821,1162
Abcb6,544,559,520,541,557,552,599,584,543,300,370,340,695,567,514,391,291,473
Abcc1,1738,1698,1790,2053,1998,2015,2019,2268,1856,1559,1678,1642,2107,1837,1531,1600,1593,2278
Abcc10,175,156,147,183,201,180,185,142,176,198,243,206,329,215,193,223,182,309
Abcc2,43,59,35,51,55,47,58,41,48,58,54,36,173,124,119,69,59,74
Abcc4,4393,4621,4577,4540,4413,4404,5056,5735,4630,3113,3472,3451,6133,5189,4511,3845,3542,5105
Abcc5,2584,2621,2425,2357,2471,2433,2653,2904,2474,3119,3229,3363,3337,2660,2254,2258,2030,2949
Abcd2,235,226,243,258,300,261,141,151,124,55,109,93,195,163,143,193,178,240
Abcd3,1844,1880,1752,1845,1887,1890,1224,1372,1180,1086,1266,1196,1788,1496,1231,1581,1459,2094
Abcd4,253,243,231,231,284,313,266,260,272,273,256,274,342,224,225,260,208,304
Abce1,7631,7667,7383,8855,8328,8391,8019,9361,7752,6359,7209,7318,8681,7234,6267,6277,5870,8334
Abcf1,5931,6032,5559,5963,5928,6325,4104,4394,3730,2930,3223,3578,6288,5324,4629,5181,4743,6871
Abcf3,1077,1133,994,1081,1148,1138,1064,1300,1043,817,880,939,1549,1162,1116,922,798,1252
Abhd10,392,355,343,408,408,363,402,546,383,274,315,345,484,368,320,360,342,464
Abhd11,234,248,242,254,259,250,366,405,371,217,268,260,304,237,227,180,195,297
Abhd12,535,508,510,743,739,710,736,873,665,642,805,750,1379,1154,1059,1806,1731,2478
Abhd13,425,385,366,455,444,448,495,583,396,511,561,591,690,538,466,439,375,610
Abhd14a,140,138,122,200,168,191,340,397,267,246,302,289,299,239,174,151,150,209
Abhd14b,461,445,456,413,455,493,443,486,467,390,421,428,649,467,463,365,355,514
Abhd16a,1106,1013,981,888,974,1002,957,933,921,979,1138,1118,1740,1347,1245,1061,948,1385
Abhd17a,851,836,833,830,869,848,562,667,506,585,685,670,945,776,721,705,658,889
Abhd17b,714,687,648,677,679,699,729,850,690,512,611,545,889,654,597,733,660,946
Abhd17c,1208,1148,1183,1133,1183,1167,950,1118,863,682,764,842,1241,1063,872,1235,1078,1528
Abhd18,88,76,99,100,103,103,112,141,132,150,193,189,138,120,107,127,112,167
Abhd2,6219,6190,6432,6161,5963,5969,7549,8793,6993,5464,6025,5971,8361,6691,5920,5031,4733,6493
Abhd4,1883,1833,1759,2023,2092,2094,2872,3174,2724,1968,2292,2202,1831,1582,1353,1337,1249,1904
Abhd5,2277,2212,2214,2151,2165,2266,2104,2392,1928,1959,2225,2178,2578,1990,1890,2072,1678,2501
Abhd6,64,49,59,56,42,57,37,45,38,119,132,135,281,234,197,160,110,139
Abhd8,1668,1461,1517,1594,1783,1811,1178,1260,1034,904,1046,1006,1526,1132,1023,1286,1254,1710
Abi1,2191,2248,2155,2289,2280,2221,1866,2248,1811,1676,1874,2002,2766,2379,1917,2095,1901,2878
Abi2,523,524,532,565,616,587,563,659,550,553,581,608,595,456,479,528,459,676
Abi3bp,23,21,22,33,25,27,19,17,17,23,16,23,25,21,30,13,17,23
Abitram,288,295,281,295,275,302,253,247,243,142,149,154,376,299,244,272,274,348
Abl2,986,947,1032,1170,1130,1098,1200,1471,1149,864,975,1038,1142,881,736,1084,1004,1410
Ablim2,44,30,39,17,20,31,12,18,13,8,18,9,10,8,4,26,19,37
Abracl,817,848,826,842,803,838,1040,1237,1007,922,1202,1064,883,766,657,622,595,779
Abraxas1,445,458,432,519,495,517,310,311,263,182,217,223,565,464,372,501,457,637
Abraxas2,1164,1115,1074,1277,1227,1265,1010,1103,861,752,840,890,1467,1312,1190,1182,970,1523
Abt1,663,754,677,781,749,715,478,535,507,410,468,529,1084,897,848,636,600,801
Abtb2,94,90,84,43,51,73,42,38,29,72,92,79,267,184,164,101,121,136
Acaa2,4477,4319,4048,3483,3397,3404,2450,2987,2328,2077,2476,2501,3192,2791,2461,3106,2774,4009
Acacb,106,118,110,173,191,204,209,223,181,195,177,199,68,43,32,78,79,145
Acad10,387,371,353,417,433,463,625,734,585,575,602,623,639,502,457,399,358,499
Acad11,423,385,398,417,411,375,469,542,432,488,530,579,564,441,394,309,280,421
Acad8,232,227,206,262,267,243,264,296,235,255,257,265,331,218,273,209,213,261
Acad9,1053,982,869,1131,1181,1168,953,1005,891,643,764,733,1213,1085,888,956,842,1298
Acadl,2395,2347,2270,2362,2387,2215,2086,2449,1923,1642,1957,1990,2538,2127,1901,2056,1970,2696
Acadm,827,754,740,670,779,709,577,637,545,406,519,468,566,449,454,445,405,597
