common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Abcc4,Aar2,Aaas
Abcb1b,Acadm,Aacs
Acad9,Aacs,Aagab
Aagab,Abhd17a,Aamdc
Abhd12,Abhd17c,Aamp
Abhd17c,Aasdhppt,Aar2
Aasdhppt,Abraxas2,Aars1
Abraxas2,Abhd8,Aars2
Abitram,Acaa2,Aasdh
Abcb1,Abcd3,Aasdhppt
Abt1,Abcb1,Abca1
Abcf1,Abt1,Abca12
Aaas,Abcf1,Abca2
Abraxas1,Aaas,Abca7
Abcd2,Abraxas1,Abcb1
Acin1,Abcd2,Abcb10
Aco1,Acer3,Abcb1b
Acsl5,Acin1,Abcb6
Actl6a,Aco1,Abcc1
Actr1a,Acp2,Abcc10
Actr2,Acsl5,Abcc2
Actr3,Actb,Abcc4
Acvr2a,Actl6a,Abcc5
Adam15,Actr2,Abcd2
Adam33,Actr3,Abcd3
Adamts3,Actr5,Abcd4
Adat2,Acvr2a,Abce1
Adgra3,Acyp2,Abcf1
Adm,Ada,Abcf3
Adnp2,Adam15,Abhd10
Adprh,Adam32,Abhd11
Adsl,Adamtsl1,Abhd12
Adss2,Adapt15,Abhd13
Aff1,Adprh,Abhd14a
Afg3l2,Adra1d,Abhd14b
Agpat5,Adrm1,Abhd16a
Agps,Adsl,Abhd17a
Ahctf1,Adss1,Abhd17b
Ahi1,Adss2,Abhd17c
Ahsa1,Afg3l2,Abhd18
Aida,Agfg1,Abhd2
Aimp1,Agpat1,Abhd4
Aimp2,Agpat3,Abhd5
Ajuba,Agpat5,Abhd6
Ak2,Agps,Abhd8
Ak6,Ahctf1,Abi1
Akap11,Ahcy,Abi2
Akap8,Ahsa1,Abi3bp
Akip1,Aida,Abitram
Akr1b1,Aimp2,Abl2
Akr1e2,Ajuba,Ablim2
Akt1,Ak2,Abracl
Alad,Ak4,Abraxas1
Alg11,Ak6,Abraxas2
Alg3,Akap11,Abt1
Alg5,Akap8,Abtb2
Alg6,Akip1,Acaa2
Alg8,Akirin1,Acacb
Alkbh1,Akr1b1,Acad10
Alkbh4,Akt1,Acad11
Alkbh7,Alad,Acad8
Amd1,Alg11,Acad9
Amfr,Alg3,Acadl
Ammecr1l,Alg5,Acadm
Anapc1,Alg6,Acads
Anapc15,Alg8,Acadsb
Anapc2,Alkbh1,Acap2
Anapc5,Alkbh4,Acap3
Anapc7,Alkbh7,Acat1
Ankle1,Alkbh8,Acbd3
Ankle2,Ammecr1l,Acbd5
Ankrd13a,Anapc1,Acbd6
Ankrd17,Anapc15,Acd
Ankrd42,Anapc2,Acer1
Ankrd49,Anapc4,Acer3
Ankrd54,Anapc5,Ache
Ankrd9,Anapc7,Acin1
Anln,Ank1,Ackr3
Ano6,Ankle1,Ackr4
Anp32b,Ankle2,Aco1
Anp32e,Ankrd12,Aco2
Anxa9,Ankrd13a,Acot13
Ap1b1,Ankrd13c,Acot7
Ap1m1,Ankrd17,Acox3
Ap2m1,Ankrd39,Acoxl
Ap4b1,Ankrd42,Acp2
Ap4s1,Ankrd52,Acp5
Apbb1ip,Ankrd9,Acp6
Apc,Anks6,Acsbg1
Apex1,Anln,Acsf3
Api5,Ano6,Acsl1
Apip,Anp32b,Acsl3
Apmap,Anp32e,Acsl5
Apobec3b,Antxr2,Acss2
Appl1,Anxa5,Acss3
Aqr,Ap1m1,Acta1
Arfgap2,Ap2a2,Acta2
Arfip1,Ap2m1,Actb
Arhgap31,Ap4b1,Actl10
Arhgap39,Ap4s1,Actl6a
Arhgap5,Ap5b1,Actl6b
Arhgef12,Apbb1,Actn1
Arhgef16,Apbb1ip,Actn3
Arhgef37,Apc2,Actr10
Arid1a,Apex1,Actr1a
Arid4a,Api5,Actr1b
Arid5a,Apoa2,Actr2
Arih1,Apobec3b,Actr3
Arl14ep,Apobr,Actr5
Arl2bp,Arap3,Actr6
Arl6ip4,Arfgap2,Actr8
Armc6,Arfip1,Actrt3
Armc9,Arhgap1,Acvr1
Arnt2,Arhgap24,Acvr1b
Arpc1a,Arhgap29,Acvr2a
Arpc2,Arhgap31,Acvr2b
Arpp19,Arhgap39,Acy3
Arsj,Arhgap45,Acyp1
Asb8,Arhgap5,Acyp2
Ascc2,Arhgef10,Ada
Ascc3,Arhgef12,Adal
Ascl2,Arhgef37,Adam10
Asdurf,Arhgef40,Adam12
Asf1a,Arid1a,Adam15
Asf1b,Arid4a,Adam21
Ash2l,Arid5a,Adam22
Asnsd1,Arid5b,Adam23
Aspm,Arl1,Adam32
Asrgl1,Arl4a,Adam33
Atad1,Arl6ip4,Adam8
Atf1,Arl6ip6,Adam9
Atg101,Arl9,Adamts1
Atg16l2,Armc5,Adamts15
Atg4b,Armc6,Adamts3
Atg9a,Armc9,Adamts4
Atic,Arnt2,Adamts6
Atp10a,Arpc1a,Adamts7
Atp10d,Arpc2,Adamtsl1
Atp11b,Arpc5,Adamtsl4
Atp13a1,Arpp19,Adamtsl5
Atp13a3,Arsj,Adapt15
Atp1a1,Art3,Adar
Atp1b3,Asb1,Adarb1
Atp2a2,Asb8,Adat1
Atp2b1,Ascc2,Adat2
Atp5f1a,Ascc3,Adat3
Atp5f1b,Asf1a,Adck1
Atp6v0a2,Asf1b,Adck2
Atr,Ash2l,Adck5
Atxn3,Asnsd1,Adcy10
Atxn7l1,Aspm,Adcy6
Atxn7l3b,Astl,Adcy7
Aunip,Atad1,Add1
B3galt4,Atf1,Adgra2
Bag3,Atg4b,Adgra3
Bag4,Atg9a,Adgrb2
Bag5,Atic,Adgrd1
Bag6,Atl3,Adgre1
Bap1,Atp10a,Adgre5
Bard1,Atp10d,Adgrf1
Baz1a,Atp11b,Adgrg1
Baz1b,Atp13a1,Adgrl2
Bcar1,Atp13a3,Adh5
Bcas2,Atp1a1,Adh7
Bccip,Atp1b3,Adhfe1
Bcdin3d,Atp23,Adipor1
Bcl2l1,Atp2b1,Adk
Bcl7b,Atp5f1a,Adm
