ID,Description,selection,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:1903047,mitotic cell cycle process,x,206/1495,484/7651,2.21601879856463e-33,3.10759702852046e-30,2.80073674120343e-30,ABRAXAS2/ABCB1/AAAS/ABRAXAS1/ACTL6A/AKAP8/AKT1/ANAPC1/ANAPC15/ANAPC2/ANAPC5/ANAPC7/ANKLE2/ANKRD17/ANLN/ARID1A/ARPP19/BARD1/BAZ1B/BCL7C/BLM/BORA/BRCA2/BUB1/BUB3/CASP2/CCNA2/CCNB1/CCNE2/CCSAP/CDC14A/CDC16/CDC20/CDC25A/CDC25C/CDC34/CDC45/CDCA2/CDCA5/CDCA8/CDK2/CDK4/CDK5RAP2/CDK7/CDT1/CENPE/CENPF/CENPH/CENPJ/CENPK/CEP192/CEP55/CFL1/CHEK1/CHEK2/CIT/CKAP2/CLSPN/CTDP1/CUL1/CUL3/CUL4A/CUL5/DBF4/DDB1/DLGAP5/DNA2/DNM2/DONSON/DPF3/DRG1/DSN1/DTL/DYNC1LI1/E2F2/E2F3/E2F4/E2F7/ECT2/EIF4E/EIF4G1/EML3/ERCC3/ESPL1/EXOC5/EXOC8/EZH2/FBXO5/FZR1/GINS1/GINS3/GTSE1/HNRNPU/IK/INCENP/INIP/INTS3/IQGAP3/JTB/KAT2B/KATNB1/KIF14/KIF18A/KIF20A/KIF20B/KIF22/KIF23/KIF2A/KIF2C/KIFC1/KLF4/KLHL18/KNL1/KNSTRN/MAD1L1/MASTL/MCM3/MCM4/MCM6/MCPH1/MDC1/MELK/MEPCE/MKI67/MRE11/MSH2/MYBL2/NAA50/NBN/NCAPD3/NCAPG/NCAPG2/NCAPH/NCAPH2/NDC80/NEK2/NSFL1C/NSL1/NUDC/NUF2/NUSAP1/ORC1/PBRM1/PCNA/PCNT/PIBF1/PIDD1/PIN1/PINX1/PLK1/PLRG1/POLE/PRC1/PRICKLE1/PRMT5/PSMG2/PSRC1/RAB35/RACGAP1/RAD51/RAD51B/RAD9A/RAN/RANBP1/RCC1/RDX/RFWD3/RIOK2/RNASEH2B/RPA2/RPS27L/RRM1/RRS1/SAPCD2/SASS6/SDE2/SEH1L/SKP2/SMARCC1/SMC2/SMC4/SMC5/SON/SPC25/STAG1/STIL/STMN1/TACC3/TFDP1/TICRR/TIPIN/TOPBP1/TPX2/TRIP13/TTK/USP37/USP47/VCP/VPS4A/VRK1/WAC/WEE1/ZMPSTE24/ZW10/ZWILCH/ZWINT,206
GO:0006260,DNA replication,x,111/1495,193/7651,3.53075901186381e-32,3.71347579072776e-29,3.34678788440354e-29,ACTL6A/ANKRD17/ASF1A/ATF1/ATR/BARD1/BAZ1A/BLM/BRCA2/CARM1/CCDC88A/CCNA2/CCNE2/CDC34/CDC45/CDK2/CDK2AP1/CDT1/CHAF1A/CHAF1B/CHEK1/CHTF8/DBF4/DDX11/DHX9/DNA2/DONSON/DTL/DUT/E2F7/E2F8/ESCO2/ETAA1/FANCM/FBXO5/FEN1/GINS1/GINS2/GINS3/GINS4/GMNN/GTPBP4/ING5/KIN/LIG4/MCM10/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MCM9/MCMBP/MCRS1/MEAF6/MGME1/MMS22L/MRE11/NASP/NBN/NFIC/NOC3L/NUCKS1/ORC1/ORC4/ORC5/ORC6/PCLAF/PCNA/PDS5A/POLA2/POLD2/POLD3/POLE/POLE2/POLQ/POLRMT/PRIM1/PRIM2/RAD51/RBBP4/RBMS1/RECQL4/RFC1/RFC2/RFC3/RFC4/RFC5/RFWD3/RNASEH2A/RPA2/RPA3/RRM1/SDE2/SSBP1/SSRP1/SUPT16H/TERF1/TICRR/TIMELESS/TIPIN/TONSL/TOPBP1/TRAIP/UCHL5/USP37/WDHD1/WRNIP1/ZMPSTE24/ZRANB3,111
GO:0006397,mRNA processing,x,148/1495,309/7651,1.21275516808728e-30,1.02041219842864e-27,9.19651392726396e-28,ACIN1/ARL6IP4/BARD1/BCAS2/BUD13/BUD31/CACTIN/CDC5L/CLNS1A/CLP1/CMTR2/CPSF2/CPSF4/CSTF3/CWC22/CWF19L2/DAZAP1/DBR1/DCPS/DDX20/DDX23/DDX39A/DDX39B/DDX46/DHX15/DHX16/DHX36/DHX38/DHX9/FASTKD5/FRG1/GEMIN2/HNRNPA1/HNRNPA3/HNRNPC/HNRNPM/HNRNPR/HNRNPU/HSF1/HSPA8/IK/KHDC4/KHSRP/KIN/LEO1/LSM1/LSM2/LSM6/LSM8/MAGOH/MBNL1/METTL14/MFAP1/MTREX/NCBP1/NCL/NUP98/PABPN1/PAPOLA/PAXBP1/PDE12/PHF5A/PLRG1/PNPT1/PPIH/PPIL1/PPIL2/PPP1R8/PRKRIP1/PRMT5/PRMT9/PRPF19/PRPF3/PRPF38A/PRPF4/PRPF40A/PRPF4B/PSIP1/PTBP1/PUF60/PUS7/RBM17/RBM22/RBM27/RBM28/RBM44/RBM47/RBM6/RBM7/RBM8A/REST/RPUSD2/SAFB/SAFB2/SART1/SCAF11/SCAF8/SDE2/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFPQ/SFSWAP/SLBP/SMU1/SNIP1/SNRNP200/SNRNP40/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SON/SRPK1/SRRT/SRSF10/SRSF11/SRSF3/SRSF4/SUGP1/SYNCRIP/TARDBP/TCERG1/THOC3/THOC5/THOC7/THRAP3/TRA2B/TRUB1/TTF2/TXNL4A/U2AF1/WDR33/WDR77/XRN2/YBX1/YTHDC1/ZCCHC8/ZRANB2,148
GO:0008380,RNA splicing,x,136/1495,280/7651,5.81537499551641e-29,3.49504037230536e-26,3.14992191486468e-26,ACIN1/ARL6IP4/BCAS2/BUD13/BUD31/CACTIN/CDC5L/CLNS1A/CLP1/CWC22/CWF19L2/DAZAP1/DBR1/DCPS/DDX20/DDX23/DDX39A/DDX39B/DDX46/DHX15/DHX16/DHX38/DHX9/FAM98B/FRG1/FUS/GEMIN2/HNRNPA1/HNRNPA3/HNRNPC/HNRNPM/HNRNPR/HNRNPU/HSPA8/IK/ILDR2/IVNS1ABP/KAT2B/KHDC4/KHSRP/LSM1/LSM2/LSM6/LSM8/MAGOH/MBNL1/METTL14/MFAP1/MPHOSPH10/MTREX/NCBP1/NCL/NUP98/PAXBP1/PHF5A/PLRG1/PPIG/PPIH/PPIL1/PPIL2/PPP1R8/PRKRIP1/PRMT5/PRPF19/PRPF3/PRPF38A/PRPF4/PRPF40A/PRPF4B/PSIP1/PTBP1/PUF60/PUS7/RBM17/RBM22/RBM28/RBM44/RBM47/RBM6/RBM7/RBM8A/REST/RPS26/RTCB/SART1/SCAF11/SDE2/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFPQ/SFSWAP/SLC38A2/SMU1/SNIP1/SNRNP200/SNRNP40/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SON/SRPK1/SRSF10/SRSF11/SRSF3/SRSF4/SUGP1/SUPT20H/SYNCRIP/TADA2B/TAF6L/TARDBP/TCERG1/THOC3/THOC5/THOC7/THRAP3/TRA2B/TTF2/TXNL4A/U2AF1/WDR77/YBX1/YTHDC1/ZCCHC8/ZRANB2,136
GO:0006281,DNA repair,x,166/1495,398/7651,1.244218893883e-25,3.07907581562693e-23,2.77503186115576e-23,ABRAXAS1/ACTL6A/ACTR2/ALKBH1/ANKLE1/APEX1/ARID1A/ASCC2/ASCC3/ASF1A/ATR/BARD1/BCL7C/BLM/BRCA2/CDC45/CDC5L/CDCA5/CDK2/CDK7/CGAS/CHAF1A/CHAF1B/CHEK1/CHEK2/CLSPN/CUL4A/DCLRE1B/DDB1/DDX11/DEK/DHX9/DNA2/DOT1L/DPF3/DTL/EMSY/EPC1/ERCC3/ERCC5/ESCO2/ETAA1/EXO1/FANCA/FANCI/FANCL/FANCM/FEN1/FH/FIGNL1/FUS/FZR1/GINS2/GINS4/HDGFL2/HMGB1/HMGB2/HSF1/ING3/INIP/INTS3/KAT2B/KDM2A/KIF22/KIN/KMT5B/LIG4/MCM3/MCM4/MCM5/MCM6/MCM7/MCM8/MCM9/MCRS1/MDC1/MEAF6/MGME1/MMS22L/MRE11/MSH2/MSH6/NBN/NSD2/NSMCE4A/NUCKS1/PALB2/PARG/PARPBP/PBRM1/PCLAF/PCNA/PDS5A/PMS2/POLD2/POLD3/POLE/POLE2/POLQ/PPP4R3B/PRPF19/PSMD14/PWWP3A/RAD23B/RAD51/RAD51B/RAD54L/RAD9A/RECQL4/RFC1/RFC2/RFC3/RFC4/RFC5/RFWD3/RIF1/RNASEH2A/RNASEH2B/RNASEH2C/RNF111/RNF168/RNF8/RPA2/RPA3/RRM1/SF3B3/SFPQ/SIRT1/SLF1/SMARCC1/SMC5/SMG1/SPRTN/SSRP1/SUPT16H/SUPT20H/TADA2B/TAF5/TAF6/TAF6L/TERF2IP/TICRR/TIMELESS/TONSL/TOPBP1/TRAIP/TRIP13/TTF2/UBE2T/UBQLN4/UCHL5/UHRF1/UNG/USP1/USP10/USP47/UVRAG/VCP/VCPIP1/WDHD1/WDR33/WRNIP1/XRCC6/ZGRF1/ZMPSTE24/ZRANB3,166
GO:0016071,mRNA metabolic process,x,182/1495,463/7651,2.03502474696988e-24,4.50597321605384e-22,4.06102999367619e-22,ACIN1/AKT1/APEX1/ARL6IP4/BARD1/BCAS2/BUD13/BUD31/CACTIN/CBLL1/CDC5L/CLNS1A/CLP1/CMTR2/CNOT4/CNOT9/CPSF2/CPSF4/CSTF3/CWC22/CWF19L2/DAZAP1/DBR1/DCPS/DDX20/DDX23/DDX39A/DDX39B/DDX46/DHX15/DHX16/DHX36/DHX38/DHX9/DIS3/DXO/EDC3/ELAVL1/ETF1/EXOSC4/EXOSC6/EXOSC8/FASTKD2/FASTKD3/FASTKD5/FRG1/FUS/GEMIN2/GTPBP1/HNRNPA1/HNRNPA3/HNRNPC/HNRNPD/HNRNPM/HNRNPR/HNRNPU/HSF1/HSPA8/IK/KHDC4/KHSRP/KIN/LEO1/LSM1/LSM2/LSM6/LSM8/MAGOH/MBNL1/METTL14/MFAP1/MTREX/NCBP1/NCL/NOCT/NSUN2/NUP98/PABPN1/PAPOLA/PAXBP1/PDE12/PELO/PHF5A/PLRG1/PNPT1/PPIH/PPIL1/PPIL2/PPP1R8/PRKRIP1/PRMT5/PRMT9/PRPF19/PRPF3/PRPF38A/PRPF4/PRPF40A/PRPF4B/PSIP1/PTBP1/PUF60/PUS7/PYM1/RBM17/RBM22/RBM27/RBM28/RBM44/RBM47/RBM6/RBM7/RBM8A/REST/RPUSD2/SAFB/SAFB2/SART1/SCAF11/SCAF8/SDE2/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFPQ/SFSWAP/SLBP/SMG1/SMG5/SMG7/SMU1/SNIP1/SNRNP200/SNRNP40/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SON/SRPK1/SRRT/SRSF10/SRSF11/SRSF3/SRSF4/SSB/SUGP1/SYNCRIP/TAF5/TAF6/TARDBP/TCERG1/THOC3/THOC5/THOC7/THRAP3/TRA2B/TRAF2/TRMT10C/TRMT61A/TRUB1/TTF2/TXNL4A/U2AF1/UPF2/VDR/WDR33/WDR77/XRN2/YBX1/YTHDC1/YTHDF2/ZCCHC8/ZRANB2,182
GO:0006403,RNA localization,x,64/1495,122/7651,2.97741843067998e-16,4.04064494770022e-14,3.64165065782998e-14,AAAS/AHCTF1/ATR/CCT2/CCT3/CCT4/CCT5/CCT6A/CCT8/DDX39A/DDX39B/DHX36/DHX9/G3BP2/HNRNPA1/HNRNPU/HSF1/KHSRP/MAGOH/NCBP1/NDC1/NOL6/NOP58/NSUN2/NUP107/NUP153/NUP155/NUP160/NUP205/NUP35/NUP37/NUP43/NUP50/NUP54/NUP58/NUP93/NUP98/NXF1/PABPN1/PHAX/PNPT1/POM121C/RAN/RANBP2/RBM8A/SEH1L/SENP2/SLBP/SMG1/SMG5/SMG7/SRSF3/SSB/TCP1/TERF1/THOC3/THOC5/THOC7/TST/UPF2/XPO1/YBX1/YTHDC1/ZNHIT6,64
GO:0022618,protein-RNA complex assembly,x,66/1495,128/7651,3.17811132796652e-16,4.17822323648598e-14,3.76564375109717e-14,ABT1/ATR/BOP1/BRIX1/BUD13/CLNS1A/CLP1/DDX20/DDX23/DDX39B/DDX46/DENR/DHX29/DHX30/DHX9/EIF3B/EIF3D/EIF3J/EIF3L/EIF5/FASTKD2/GEMIN2/HSP90AA1/KHDC4/LSM2/NCBP1/NUFIP1/PHF5A/PRMT5/PRPF19/PRPF3/PSIP1/PUF60/RPLP0/RPS27L/RPSA/RRP7A/RRS1/SART1/SCAF11/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFSWAP/SNIP1/SNRNP200/SNRPA1/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SRPK1/SRSF10/TARBP2/TXNL4A/WDR77/YTHDC1/ZNHIT6,66
GO:0071824,protein-DNA complex organization,x,168/1495,485/7651,4.32325488125054e-16,5.34939214277089e-14,4.82116535054627e-14,ABRAXAS1/ACTL6A/ALKBH4/ANP32B/ANP32E/ARID1A/ARID4A/ASF1A/ASF1B/ASH2L/BAG6/BAP1/BAZ1A/BAZ1B/BCL7C/BEND3/BRCA2/BRD2/BRF1/BTAF1/BUB1/CAND1/CARM1/CBX5/CBX6/CBX7/CDC45/CDK2/CDT1/CDYL/CENPE/CENPF/CENPH/CENPK/CENPN/CENPT/CENPW/CHAF1A/CHAF1B/CHD1/CHD9/CHEK1/CTCF/CTR9/DDB1/DDX11/DDX21/DDX23/DEK/DLGAP5/DNAJC9/DNMT1/DOT1L/DPF3/EED/EHMT1/EMSY/EPC1/EZH2/FOXA1/GATAD2A/GATAD2B/GMNN/GTF2A2/GTF2B/HAT1/HDAC1/HDAC2/HDGF/HDGFL2/HELLS/HIRIP3/HJURP/HMGB1/HMGB2/HNRNPC/HNRNPU/ING2/ING3/ING5/JAK2/KANSL2/KAT2B/KAT6A/KDM2A/KMT5B/L3MBTL2/LIN54/LMNB1/LMNB2/MAP3K7/MBD2/MCRS1/MEAF6/MECOM/MED10/MED16/MED17/MED18/MED19/MIER1/MIS18A/MKI67/MMS22L/MSL2/MTA2/NAA40/NAA50/NAP1L4/NASP/NOC2L/NSD2/NSMCE4A/NUCKS1/OIP5/PBRM1/PIK3CA/POLR1E/PRKAA1/PRMT5/PSIP1/PSMC6/PWWP3A/RAD51/RAD54L/RBBP4/RCOR1/RELA/REST/RIF1/RNF168/RNF2/RNF4/RNF8/RRN3/SAFB/SETD1B/SF3B1/SFPQ/SIRT1/SLF1/SMARCC1/SMC5/SRPK1/SS18/SSRP1/SUDS3/SUGT1/SUPT16H/SUV39H2/TADA2B/TAF5/TAF6/TAF6L/TASOR2/TDRD3/TERF1/TONSL/TTF2/UCHL5/UHRF1/UTP3/VRK1/WAC/YTHDC1/ZMPSTE24/ZNF462/ZRANB3,168
GO:0042254,ribosome biogenesis,x,90/1495,220/7651,1.13765777331277e-13,9.76760459658535e-12,8.80310053592394e-12,ABT1/BOP1/BRIX1/CUL4A/DDX18/DDX21/DDX51/DDX54/DDX56/DHX29/DHX30/DIS3/DNTTIP2/DROSHA/EBNA1BP2/EIF5/EIF5B/ERI1/EXOSC4/EXOSC6/EXOSC8/FASTKD2/FCF1/FRG1/GNL2/GTPBP4/HEATR1/ISG20L2/KAT2B/KRI1/LSG1/LSM6/LYAR/METTL17/MPHOSPH10/MTERF4/MTREX/NGDN/NIFK/NIP7/NMD3/NOB1/NOC2L/NOL6/NOLC1/NOP14/NOP56/NOP58/NOP9/NVL/PA2G4/PAK1IP1/PES1/PWP1/RAN/RBM34/RIOK2/RPF1/RPL7L1/RPLP0/RPP30/RPP40/RPS19BP1/RPS27L/RPSA/RPUSD2/RRN3/RRP1/RRP15/RRP7A/RRP9/RRS1/RSL24D1/SART1/SDE2/UTP11/UTP20/UTP25/UTP3/UTP4/WDR3/WDR36/WDR46/WDR74/WDR75/XPO1/XRN2/YTHDF2/ZNF622/ZNHIT6,90
