gene_id,B12_17_R1,B12_17_R2,B12_17_R3,B12_21_R1,B12_21_R2,B12_21_R3,B12_R1,B12_R2,B12_R3,clone1-wt_R1,clone1-wt_R2,clone1-wt_R3,clone1_1_R1,clone1_1_R2,clone1_1_R3,clone1_3_R1,clone1_3_R2,clone1_3_R3,
A1cf,0,0,0,1.000000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A3galt2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,
A4galt,1,1,2,1,5,0,4,2,2,0,1,0,0,0,1,3,1,0,
A4gnt,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,
Aaas,1542.9955,1444.9967,1332.9992,1521.9988,1589.0019,1493.9965,777.9996,850.9999,667.00039,749.9996,835.9996,799.0005,1656.004,1364.995,1136.0034,1379.0025,1279.001,1875.9989,
Aacs,1635.995,1538.9999,1521.00437,2129.9963,2190.997,2183.9991,1303.00298,1500.0044,1246.0026,1537.9998,1750.99799,1720.9995,2348.9994,1783.0047,1736.00274,1907.003,1711.0048,2412.0047,
Aadac,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
Aadacl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aagab,939,877.0003,855,957.0003,972.0005,940.9996,837.0002,1052.9997,811.0004,589.0005,667.99998,599.9999,1189,954.0004,862,905.0005,818.00021,1201.9976,
Aamdc,105.99995,91.00006,99.00003,96,116,88,131.00006,167.99992,139.99997,93.99998,123.99999,124.00002,201.0001,167.00001,121,76.99996,101.9999903,113,
Aamp,1496.001,1503.996,1456.997,1392.003,1420.996,1374.002,1214.995,1426.001,1188.999,1183.996,1377.001,1421.002,2076.003,1677,1517,1397.001,1282.005,1854.004,
Aar2,795.0005,731.99988,745.9997,841.9995,776.0005,831.9993,520.99949,671.99985,516.0007,556.99987,681.00049,610.00011,734.00017,556.00054,508.00028,501.9999,475.0002,714.9998,
Aars1,7428.002,7344.004,7007.997,10226.001,10307.996,10394.996,9783.998,11206.965,9310.997,5489.001,6181.002,6232.996,7500.999,6380.999,5641.997,6939.002,6189.996,9041.996,
Aars2,645,663,639,614,731,627,867,981,841,613,617,719,913,760,673,739,589,888,
Aasdh,581.8892,549.7877397,566.8369092,587.042,631.94555,662.5455,645.1098726,722.6134,620.9560033,516.4521,545.0099672,556.2736,792.6733001,636.6033065,529.13898,537.5094234,514.7257,715.47452,
Aasdhppt,4936,5108.99,4682,5309,4941,5148,3847,4616,3648,2910.99,3247,3261,5124,4276,3903,4565,4130,5864.99,
Aass,0,0,0,0,2.000000887,0,0,0,0,0,0,0,1.000000208,0,0.999999572,0,0,0,
Abca1,2054,2084,2117,2010,1999,2108,2135,2466,1856,3043,3271,3394,2620,2154,1735,2635,2435,3547,
Abca12,4,10,4,2.999999,8,7,5,2.000004,1,0,0,0,0,1,0,1,1,1.999997,
Abca2,1688,1687.0007,1750.001,2047,2192.0032,2201.0046,2442.0005,2901.996,2252.005,1379,1425.0002,1437,2185.001,1728,1618,1788.001,1654.00018,2396.996,
Abca7,236.1884,241.0902951,208.9579053,282.4972783,348.9851,396.2945107,778.3614865,659.0195595,794.6275001,1072.185093,939.1089,1010.097334,753.0851671,579.7800017,446.5020993,520.661408,479.1345611,716.6402817,
Abcb1,1360.22,1347.91,1283.84,1684.34,1675.7,1873.12,1063.45,1177.69,941.081,1338.59,1440.34,1369.73,3151.72,2649.37,2280.12,1870.35,1705.5,2465.5,
